"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/css/react-paginate.css", "CSS", 0, 34, 0, 0, 2, 36
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/helpers/constants.js", "JavaScript", 1, 0, 0, 0, 1, 2
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/helpers/constatStyle.js", "JavaScript", 6, 0, 0, 0, 1, 7
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/helpers/localStorage.js", "JavaScript", 19, 0, 0, 0, 2, 21
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/hooks/useCloseSearchCityElement.js", "JavaScript", 22, 0, 0, 2, 6, 30
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/hooks/useFilter.js", "JavaScript", 31, 0, 0, 0, 10, 41
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/hooks/useHistory.js", "JavaScript", 14, 0, 0, 10, 7, 31
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/hooks/useNameCity.js", "JavaScript", 36, 0, 0, 2, 10, 48
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/hooks/useSearchCity.js", "JavaScript", 34, 0, 0, 0, 11, 45
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/hooks/useWarehouses.js", "JavaScript", 64, 0, 0, 3, 23, 90
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/images/codewars.svg", "XML", 0, 0, 1, 0, 0, 1
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/images/email.svg", "XML", 0, 0, 10, 0, 1, 11
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/images/github.svg", "XML", 0, 0, 1, 0, 0, 1
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/images/linkedin.svg", "XML", 0, 0, 1, 0, 0, 1
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/images/smartphone.svg", "XML", 0, 0, 4, 0, 1, 5
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/images/telegram.svg", "XML", 0, 0, 1, 0, 0, 1
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/index.css", "CSS", 0, 33, 0, 0, 5, 38
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/index.js", "JavaScript", 14, 0, 0, 0, 2, 16
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/layout/SharedLayout/SharedLayout.js", "JavaScript", 45, 0, 0, 0, 6, 51
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/layout/SharedLayout/SharedLayout.styled.js", "JavaScript", 46, 0, 0, 1, 11, 58
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/pages/Documents/Documents.js", "JavaScript", 72, 0, 0, 13, 24, 109
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/pages/Documents/Documents.styled.js", "JavaScript", 6, 0, 0, 0, 2, 8
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/pages/NotFound/NotFound.js", "JavaScript", 4, 0, 0, 0, 2, 6
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/pages/Warehouses/Warehouses.js", "JavaScript", 45, 0, 0, 1, 16, 62
"/home/segiy/GoIt/React/Test/TestTasks/test_novaposhta/src/servises/apiNovaPoshta.js", "JavaScript", 115, 0, 0, 2, 18, 135
"Total", "-", 1577, 67, 18, 49, 355, 2066
